,ID,name,address,rating,rating_number,price_level,lat,lng,open,Sun_open,Sun_close,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thur_open,Thur_close,Fri_open,Fri_close,Sat_open,Sat_close,url,wifi,time_limit,outlet,nearest_bus,bus_distance,nearest_station,station_distance
39,ChIJB0PpcUKrQjQRuJ-11m16YlU,覺旅咖啡 Journey Kaffe 南京復興店,"105, Taiwan, Taipei City, Songshan District, Zhongzheng Village, Alley 8, Lane 303, Section 3, Nanjing E Rd, 7號1樓",4.1,1652,2.0,25.0530552,121.5471475,True,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,https://maps.google.com/?cid=6152614653113769912,yes,,yes,南京敦化路口,153.10607243965464,台北小巨蛋,464.55613146717457
40,ChIJr8_M6cerQjQRAuAcvSVhJmo,Copy Coffee,"No. 33號, Lane 85, Guangfu N Rd, Jixiang Village, Songshan District, Taipei City, Taiwan 105",4.7,23,,25.050548,121.5598754,True,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,,,https://maps.google.com/?cid=7648907831849836546,,,,南京三民路口,119.42275172594543,南京三民,457.59601240955266
41,ChIJv1KTkfKrQjQRc6i4XnPpsTY,Fujin Tree 353 Cafe,"No. 353號, Fujin St, Dongrong Village, Songshan District, Taipei City, Taiwan 10583",4.0,1387,2.0,25.0606632,121.5577698,True,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,https://maps.google.com/?cid=3941187830645565555,,,,民權公園,146.2261284915381,松山機場,676.6485345018075
42,ChIJJxk04eqrQjQRjpOFZEerukE,ASK for Cafe & Bar,"No. 163-3, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.8,273,,25.0519186,121.5626265,True,10:00:00,17:30:00,09:00:00,17:30:00,09:00:00,17:30:00,09:00:00,17:30:00,09:00:00,17:30:00,09:00:00,17:30:00,10:00:00,17:30:00,https://maps.google.com/?cid=4736286281251001230,yes,,yes,西松國小,147.27195960539385,南京三民,177.98802563141365
43,ChIJj4VFoZSrQjQRd_Q-xfVMgHM,PK Caffè,"No. 2號, Alley 8, Lane 123, Section 5, Nanjing E Rd, Dongguang Village, Songshan District, Taipei City, Taiwan 105",4.5,327,1.0,25.0534191,121.5609699,True,07:30:00,16:00:00,07:30:00,16:00:00,07:30:00,16:00:00,,,07:30:00,16:00:00,07:30:00,16:00:00,07:30:00,16:00:00,https://maps.google.com/?cid=8322736729840612471,,,,長壽公園,117.5380765368708,南京三民,402.47137232641074
45,ChIJSSjxNJSrQjQRcjArZm8eJzI,恩山咖啡-南京三民店,"No. 48號, Lane 245, Section 4, Bade Rd, Jixiang Village, Songshan District, Taipei City, Taiwan 105",4.8,104,1.0,25.0503185,121.5643399,True,10:30:00,17:00:00,09:30:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,10:30:00,17:00:00,https://maps.google.com/?cid=3613890689792422002,,,,東興路一,96.43175973769317,南京三民,122.9396014727838
46,ChIJ2eSD_uSrQjQR3z5LCil1hFI,La Chaudière Coffee 樂初咖啡,"No. 6, Lane 361, Fuxing N Rd, Minyou Village, Songshan District, Taipei City, Taiwan 105",4.1,428,2.0,25.0603182,121.5453667,True,09:30:00,18:30:00,09:30:00,18:30:00,09:30:00,18:30:00,09:30:00,18:30:00,09:30:00,18:30:00,09:30:00,18:30:00,09:30:00,18:30:00,https://maps.google.com/?cid=5946006227162709727,yes,,,捷運中山國中站,126.23191526645059,松山機場,700.9326538738947
47,ChIJoYMtWu6rQjQR3koezN4YcCo,spoon cafe,"105, Taiwan, Taipei City, Songshan District, Jingzhong Village, Alley 4, Lane 97, Section 4, Minsheng E Rd, 2-1號號",4.0,1039,2.0,25.058775,121.5521518,True,10:00:00,18:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,18:00:00,https://maps.google.com/?cid=3057971492170910430,,,,公教住宅,84.1991908299594,松山機場,480.62241001660686
48,ChIJXUD1g6irQjQRXU0DhdymB6U,Cộng Cà Phê 台北光復南店,"No. 4號, Guangfu S Rd, Fujian Village, Songshan District, Taipei City, Taiwan 105",4.1,460,,25.0478254,121.5576437,True,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,20:30:00,https://maps.google.com/?cid=11891656807149686109,,,,臺北市區監理所(光復),54.379440380489754,鐵博西站,488.7811380587072
49,ChIJLU4r6jurQjQRrr44krDtxuY,The Gathering Cafe,"105, Taiwan, Taipei City, Songshan District, Dongshi Village, Lane 8, Jiankang Rd, 5號1樓",4.8,160,,25.0523384,121.5529739,True,10:30:00,18:00:00,10:30:00,18:00:00,10:30:00,18:00:00,10:30:00,18:00:00,10:30:00,18:00:00,10:30:00,18:00:00,10:30:00,18:00:00,https://maps.google.com/?cid=16629240016735354542,,,,南京寧安街口,198.3307027695218,台北小巨蛋,165.4705861515889
